COC(=O)O	000	methyl hydrogen carbonate
c1cc2c(cc(o2)C(=O)O)c3c1cc4cc(oc4c3)C(=O)O	01I	naphtho[2,1-b:7,6-b']difuran-2,8-dicarboxylic acid
c1ccc(cc1)C(c2ccccc2)C(C(=O)O)NC(N3CCOCC3)O	01J	n-[(s)-hydroxy(morpholin-4-yl)methyl]-beta-phenyl-d-phenylalanine
CC(=O)NC(CCCCNC(=O)CSCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O)C(=O)N	01K	[(2r,3s,4r,5r)-5-(6-amino-9h-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3r,20r)-20-carbamoyl-3-hydroxy-2,2-dimethyl-4,8,14,22-tetraoxo-12-thia-5,9,15,21-tetraazatricos-1-yl dihydrogen diphosphate
B(C(CCCOC)N)(O)O	01L	[(1r)-1-amino-4-methoxybutyl]boronic acid
C1CC(CN(C1)C(=N)N)C(=O)O	01M	(3s)-1-carbamimidoylpiperidine-3-carboxylic acid
C1CCC(CC1)CC(C(=O)O)NCC(=O)O	01N	n-(carboxymethyl)-3-cyclohexyl-d-alanine
Cn1cc(cc1C(=N)N)CN	01O	4-(aminomethyl)-1-methyl-1h-pyrrole-2-carboximidamide
COc1cc(ccc1N2CCOCC2)Nc3nccc(n3)Nc4cc5ccccc5nc4	01P	n~2~-[3-methoxy-4-(morpholin-4-yl)phenyl]-n~4~-(quinolin-3-yl)pyrimidine-2,4-diamine
Cn1c(ccc1C(=N)N)CN	01Q	5-(aminomethyl)-1-methyl-1h-pyrrole-2-carboximidamide
c1cnccc1NCCN	01R	n-(pyridin-4-yl)ethane-1,2-diamine
	01S	n-[(2r)-2-(hydroxycarbamoyl)-4-methylpentanoyl]-l-alanylglycinamide
CCc1c(c(c(c(n1)CC(C)(C)C)CN)c2ccc(cc2)C)CC(=O)O	01T	[5-(aminomethyl)-6-(2,2-dimethylpropyl)-2-ethyl-4-(4-methylphenyl)pyridin-3-yl]acetic acid
c1cc2c(cc1N)sc(n2)N	01U	1,3-benzothiazole-2,6-diamine
c1cc(c(cc1Cl)CN)Cl	01V	1-(2,5-dichlorophenyl)methanamine
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])NCCC(C(=O)[O-])[NH3+]	01W	(2s)-2-ammonio-4-[(2,4-dinitrophenyl)amino]butanoate
c1cc(c(cc1Cl)CN)OCC(=O)O	01X	[2-(aminomethyl)-4-chlorophenoxy]acetic acid
C1CCC(C1)OCC(=O)O	01Y	(cyclopentyloxy)acetic acid
C1CCC(CC1)OCC(=O)O	01Z	(cyclohexyloxy)acetic acid
c1cc(oc1)CNc2ccc(cc2[N+](=O)[O-])C(F)(F)F	020	n-(furan-2-ylmethyl)-2-nitro-4-(trifluoromethyl)aniline
C1CCC(C1)NCC(=O)O	021	n-cyclopentylglycine
Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N	022	3-{1-(4-carbamoyl-2-methylphenyl)-5-[4-(1h-imidazol-1-yl)phenyl]-1h-pyrrol-2-yl}propanoic acid
CC(C(CCCc1ccccc1)C(=O)NC(C(=O)NC)C(C)(C)C)N(C=O)O	023	n^2^-[(2r)-2-{(1s)-1-[formyl(hydroxy)amino]ethyl}-5-phenylpentanoyl]-n,3-dimethyl-l-valinamide
c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)O)OCC(=O)O)Br	024	4-bromo-3-(carboxymethoxy)-5-[3-(cyclohexylamino)phenyl]thiophene-2-carboxylic acid
c1cc(cc(c1)S(=O)(=O)O)C(F)(F)F	025	3-(trifluoromethyl)benzenesulfonic acid
C1CN(CCN1)CCCN	026	3-(piperazin-1-yl)propan-1-amine
Cc1cc(n[nH]1)NC2=NN(C(=O)c3c2ccc(c3)N4CCN(CC4)C)C(C)C	027	7-(4-methylpiperazin-1-yl)-4-[(5-methyl-1h-pyrazol-3-yl)amino]-2-(propan-2-yl)phthalazin-1(2h)-one
CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O	028	(1-hydroxyheptane-1,1-diyl)bis(phosphonic acid)
C1CC(CCC1CNC(=N)N)C(=O)O	029	cis-4-(carbamimidamidomethyl)cyclohexanecarboxylic acid
C1CNC1C(=O)O	02A	(2s)-azetidine-2-carboxylic acid
Cc1cc(c(c(c1S(=O)(=O)O)C)C)OC	02B	4-methoxy-2,3,6-trimethylbenzenesulfonic acid
c1c(nc(s1)CN)C(=N)N	02C	2-(aminomethyl)-1,3-thiazole-4-carboximidamide
c1cc(sc1CN)C(=N)N	02D	5-(aminomethyl)thiophene-2-carboximidamide
COC=CCC(N)P(O)(O)(Oc1ccccc1)Oc2ccccc2	02E	(e,1s)-1-[dihydroxy(diphenoxy)-$l^{5}-phosphanyl]-4-methoxy-but-3-en-1-amine
COCCCC(N)P(=O)(O)O	02F	[(1s)-1-amino-4-methoxybutyl]phosphonic acid
C(CS)C=CC(CC(=O)O)O	02G	(3s,4e)-3-hydroxy-7-sulfanylhept-4-enoic acid
c1ccc(cc1)CC(CC(C(Cc2ccc(cc2)c3cccnc3)N)O)N	02H	(2s,3s,5s)-2,5-diamino-6-phenyl-1-[4-(pyridin-3-yl)phenyl]hexan-3-ol
c1nc(c2c(n1)n3c(n2)C(C4C(CC3O4)O)OP(=O)(O)O)N	02I	(6s,7s,8s,10r)-4-amino-8-hydroxy-7,8,9,10-tetrahydro-6h-7,10-epoxyazepino[1,2-e]purin-6-yl dihydrogen phosphate
Cc1cc(no1)C(=O)O	02J	5-methyl-1,2-oxazole-3-carboxylic acid
C1CCC(CC1)(C(=O)O)N	02K	1-aminocyclohexanecarboxylic acid
CC(C)(C)CNC(=O)CC(C(=O)O)N	02L	n-(2,2-dimethylpropyl)-l-asparagine
Cc1ccc(cc1)CN	02N	1-(4-methylphenyl)methanamine
CC(C)(C)c1nc(on1)CC(C(=O)O)N	02O	3-(3-tert-butyl-1,2,4-oxadiazol-5-yl)-l-alanine
C[n+]1ccc(cc1CNC(=O)C2CCCN2C(=O)C(Cc3ccccc3)N)Cl	02P	d-phenylalanyl-n-[(4-chloro-1-methylpyridinium-2-yl)methyl]-l-prolinamide
Cc1ccccc1CCC(=O)O	02Q	3-(2-methylphenyl)propanoic acid
c1ccc(c(c1)CN)Cl	02R	1-(2-chlorophenyl)methanamine
c1ccc(cc1)COc2ccc(cc2)C(=O)O	02S	4-(benzyloxy)benzoic acid
Cc1ccsc1CN	02T	1-(3-methylthiophen-2-yl)methanamine
CCC(C)CCCC=CCCCCCCCC(=O)O	02U	14-methylhexadec-9-enoic acid
CNC(c1ccc(c(c1)O)O)C(=O)O	02V	(2s)-(3,4-dihydroxyphenyl)(methylamino)ethanoic acid
Cc1nc2ccccc2n1CCN	02W	2-(2-methyl-1h-benzimidazol-1-yl)ethanamine
CC(C)C(CC(=O)O)C(=O)O	02X	(2s)-2-(propan-2-yl)butanedioic acid
C(CC(=O)C[N+]#N)C(C(=O)O)N	02Y	6-diazonio-5-oxo-l-norleucine
c1ccc(cc1)Nc2nc(c(s2)C(=O)N)N	02Z	4-amino-2-(phenylamino)-1,3-thiazole-5-carboxamide
C1C(CC2C1C(CO2)O)OC(=O)O	030	(3r,3ar,5r,6ar)-3-hydroxyhexahydro-2h-cyclopenta[b]furan-5-yl hydrogen carbonate
COc1ccc(cc1)S(=O)(=O)N(CC2CCC(=O)N2)CC(C(Cc3ccccc3)NC(=O)OC4CC5CCOC5C4)O	031	(3as,5r,6ar)-hexahydro-2h-cyclopenta[b]furan-5-yl [(1s,2r)-1-benzyl-2-hydroxy-3-([(4-methoxyphenyl)sulfonyl]{[(2r)-5-oxopyrrolidin-2-yl]methyl}amino)propyl]carbamate
CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(cc4)Cl)F	032	n-(3-{[5-(4-chlorophenyl)-1h-pyrrolo[2,3-b]pyridin-3-yl]carbonyl}-2,4-difluorophenyl)propane-1-sulfonamide
CC(C)C(C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3	033	n-({4'-[(1-benzofuran-2-ylcarbonyl)amino]-1,1'-biphenyl-4-yl}sulfonyl)-l-valine
CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(cc3)c4ccc5c(c4)cc([nH]5)C(=O)O	034	5-(4-{[3-(2,6-dichlorophenyl)-5-(propan-2-yl)-1,2-oxazol-4-yl]methoxy}phenyl)-1h-indole-2-carboxylic acid
C(CCC(C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O	035	(2s)-2,7-bis(phosphonooxy)heptanoic acid
C(CCC(C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O	036	(2r)-2,7-bis(phosphonooxy)heptanoic acid
C1CC2CNC(C2C1)C(=O)O	037	(1s,3ar,6as)-octahydrocyclopenta[c]pyrrole-1-carboxylic acid
CC(C)CC(C(=O)NCC(CCc1ccccc1)(C(=O)Nc2cccc(c2)C(=O)O)O)NC(=O)C(C(C)C)NC(=O)C(CNC(=O)c3[nH]nnn3)N	038	3-[[(2s)-2-[[[(2s)-2-[[(2s)-2-[[(2s)-2-azanyl-3-(1h-1,2,3,4-tetrazol-5-ylcarbonylamino)propanoyl]amino]-3-methyl-butanoyl]amino]-4-methyl-pentanoyl]amino]methyl]-2-hydroxy-4-phenyl-butanoyl]amino]benzoic acid
COc1ccccc1N2C(=Nc3cccc(c3C2=O)Cl)CSc4c5c([nH]cn5)ncn4	039	2-((9h-purin-6-ylthio)methyl)-5-chloro-3-(2-methoxyphenyl)quinazolin-4(3h)-one
CCCC(C(=O)C(=O)NC1CC1)N	03A	(3s)-3-amino-n-cyclopropyl-2-oxohexanamide
Cc1c(c(c(n1C)c2ccc(cc2)Cl)c3cccc(c3)N4CCN(CC4)c5ccc(cc5)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])NC(CCN(C)C)CSc7ccccc7)C(=O)O	03B	5-(4-chlorophenyl)-4-{3-[4-(4-{[(4-{[(2r)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrophenyl)sulfonyl]amino}phenyl)piperazin-1-yl]phenyl}-1,2-dimethyl-1h-pyrrole-3-carboxylic acid
Cc1ccccc1n2c(c(cn2)C(=O)c3cccc(c3)C4CCN(CC4)S(=O)(=O)C)N	03C	[5-amino-1-(2-methylphenyl)-1h-pyrazol-4-yl]{3-[1-(methylsulfonyl)piperidin-4-yl]phenyl}methanone
CC(C)CC(C(C(CC1CCCCC1)NC(=O)C(CC2CC2)CC(C(Cc3ccccc3)O)O)O)O	03D	(2r,4s,5s)-n-[(2s,3r,4s)-1-cyclohexyl-3,4-dihydroxy-6-methylheptan-2-yl]-2-(cyclopropylmethyl)-4,5-dihydroxy-6-phenylhexanamide
C1CCCC(CC1)(C(=O)O)N	03E	1-aminocycloheptanecarboxylic acid
CCCCCCCCCCCCCC=CC(C(COC1C(C(C(C(O1)CO)O)O)O)NC(=O)CCCCCCCC=CCCCCCCCC)O	03F	(9z)-n-[(2s,3r,4e)-1-(beta-d-glucopyranosyloxy)-3-hydroxyoctadec-4-en-2-yl]octadec-9-enamide
CC1(CC(CC(N1)(C)C)NC(=O)C(=O)Nc2ccc(cc2)Cl)C	03G	n-(4-chlorophenyl)-n'-(2,2,6,6-tetramethylpiperidin-4-yl)ethanediamide
CC(C)CC(C(=O)O)Cl	03H	(2s)-2-chloro-4-methylpentanoic acid
CC(CCc1ccc(cc1)c2ccc(cc2)OCCCN3CCOCC3)(C(=O)NO)S(=O)(=O)C	03I	(2r)-n-hydroxy-2-methyl-2-(methylsulfonyl)-4-{4'-[3-(morpholin-4-yl)propoxy]biphenyl-4-yl}butanamide
c1ccc(cc1)c2cc(sc2)c3ccc(cc3)CCC(=O)O	03J	3-[4-(4-phenylthiophen-2-yl)phenyl]propanoic acid
c1cc(ccc1C(=O)N)C(=O)Nc2cc([nH]n2)C3CC3	03K	n-(5-cyclopropyl-1h-pyrazol-3-yl)benzene-1,4-dicarboxamide
c1ccc(c(c1)C(=O)NCc2c(cccc2Cl)Sc3ccc(cc3Cl)Cl)C(=O)O	03L	2-({2-chloro-6-[(2,4-dichlorophenyl)sulfanyl]benzyl}carbamoyl)benzoic acid
Cc1c(ccc2c1[nH]cc2C=C3C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl	03M	(5z)-5-[(6-chloro-7-methyl-1h-indol-3-yl)methylidene]-3-(3,4-difluorobenzyl)imidazolidine-2,4-dione
C1CN(CCC1CN)C(=N)N	03N	4-(aminomethyl)piperidine-1-carboximidamide
CN1C(CNC2=C1C(=O)NC(=N2)N)CNc3ccc(cc3)C(=O)O	03O	4-({[(6s)-2-amino-5-methyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoic acid
CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O	03P	n-{2-[4-({3-chloro-4-[3-(trifluoromethyl)phenoxy]phenyl}amino)-5h-pyrrolo[3,2-d]pyrimidin-5-yl]ethyl}-3-hydroxy-3-methylbutanamide
c1cc(cc(c1)Oc2c(cc(cn2)Nc3c4c(ccn4CCOCCO)ncn3)Cl)C(F)(F)F	03Q	2-{2-[4-({5-chloro-6-[3-(trifluoromethyl)phenoxy]pyridin-3-yl}amino)-5h-pyrrolo[3,2-d]pyrimidin-5-yl]ethoxy}ethanol
[H]N=C(c1cccc(c1)Oc2c(c(c(c(n2)Oc3ccccc3C(=O)O)F)NC(C)CCc4ccccc4)F)N	03R	2-({6-{3-[amino(imino)methyl]phenoxy}-3,5-difluoro-4-[(1-methyl-3-phenylpropyl)amino]-2-pyridinyl}oxy)benzoic acid
CS(=O)(=O)O	03S	methanesulfonic acid
c1ccc2c(c1)cc(s2)S(=O)(=O)N	03T	1-benzothiophene-2-sulfonamide
CCC(=C(C#N)C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(cc2)F)O	03U	methyl 4-{[(2z)-2-cyano-3-hydroxypent-2-enoyl]amino}-4'-fluorobiphenyl-2-carboxylate
c1ccc2cc(ccc2c1)O	03V	naphthalen-2-ol
C(C(C(O)O)O)O	03W	(2r)-propane-1,1,2,3-tetrol
CC1=C(C(=O)N(N1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4cc(c(c5)OC)OC	03X	n-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]-3-fluorophenyl}-1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
CC(CS)(C(=O)O)N	03Y	2-methyl-l-cysteine
c1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N	03Z	4-[(4-amino-5-benzoyl-1,3-thiazol-2-yl)amino]benzenesulfonamide
Cc1ccccc1C(=O)CC(=O)C(=O)O	040	4-(2-methylphenyl)-2,4-dioxobutanoic acid
C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O	041	2-(3-fluoro-4-hydroxyphenyl)-7-vinyl-1,3-benzoxazol-5-ol
CCC(C)C(C(=O)O)NC(=O)C(C(C)O)NC(=O)C1C(O1)C(=O)OCC	042	n-{[(2s,3s)-3-(ethoxycarbonyl)oxiran-2-yl]carbonyl}-l-threonyl-l-isoleucine
c1cc(cc(c1)Br)C(=O)CC(=O)C(=O)O	043	4-(3-bromophenyl)-2,4-dioxobutanoic acid
CC1=C(C(=O)N(N1CC(C)O)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OC	044	n-{3-fluoro-4-[(7-methoxyquinolin-4-yl)oxy]phenyl}-1-[(2r)-2-hydroxypropyl]-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
C(C1C(C(C(C(O1)OC2(C(C(C(O2)COC3(C(C(C(O3)CO)O)O)CO)O)O)CO)O)O)O)O	045	beta-d-fructofuranosyl-(2->6)-beta-d-fructofuranosyl alpha-d-glucopyranoside
CC(=O)Nc1cc(ncn1)Oc2ccc3c(c2)CCN3C(=O)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC5)C	046	5-{[6-(acetylamino)pyrimidin-4-yl]oxy}-n-{4-[(4-methylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl}-2,3-dihydro-1h-indole-1-carboxamide
Cc1ccc(cc1)n2cc(c3c2cccc3)CNCC4CCCCC4	047	1-cyclohexyl-n-{[1-(4-methylphenyl)-1h-indol-3-yl]methyl}methanamine
c1ccc(cc1)C(=O)Nc2cc(ccc2F)Nc3ccc4c(c3)CCCCC4=O	048	n-{2-fluoro-5-[(5-oxo-6,7,8,9-tetrahydro-5h-benzo[7]annulen-2-yl)amino]phenyl}benzamide
CC(=O)NC(Cc1ccccc1)C(C2(CO2)C)O	049	2-(acetylamino)-4,5-anhydro-1,2-dideoxy-4-methyl-1-phenyl-d-xylitol
c1ccc(cc1)CC(=O)Nc2nnc(s2)CCSCCc3nnc(s3)NC(=O)Cc4ccccc4	04A	n,n'-[sulfanediylbis(ethane-2,1-diyl-1,3,4-thiadiazole-5,2-diyl)]bis(2-phenylacetamide)
